Form ID,Form Name,Module Spec,Screen ID,Field Count,Primary Persona,Operational Domain,Sidebar Submenu Group,Submenu Item Label,Full Location Path,Target Module ID,CRUD API Endpoint,Workday Equivalent
FRM-PLT-01,Legal Entity Master,PLT Platform,SCR-001,22,Tenant admin,Platform & Admin,People & lifecycle,Legal entity master,Platform & Admin > People & lifecycle > Legal entity master (SCR-001),legal_entity,/api/v1/organization/entities,Workday: Create Company / Legal Entity
FRM-PLT-02,Location / Work Site Master,PLT Platform,SCR-002,20,Tenant admin,Platform & Admin,People & lifecycle,Location / Work site master,Platform & Admin > People & lifecycle > Location / Work site master (SCR-002),location_master,/api/v1/organization/locations,Workday: Create Location
FRM-PLT-03,"User, Role and Scope Grant",PLT Platform,SCR-005,16,Tenant admin,Core HR,People & lifecycle,Access scope administration,Core HR > People & lifecycle > Access scope administration (SCR-005),access_scope,/api/v1/identity/memberships,Workday: Assign Roles / Security Group
FRM-PPL-01,Add / Edit Employee — Identity and Personal,PPL People Core,SCR-010,117,HR Ops,Core HR,People & lifecycle,Employee record,Core HR > People & lifecycle > Employee record (SCR-010),person_record,/api/v1/people,"Workday: Hire Employee > Personal Data, Contact Information"
FRM-PPL-02,"Employment, Assignment and Policy",PPL People Core,SCR-011,45,HR Ops,Core HR,People & lifecycle,Assignment and policy attributes,Core HR > People & lifecycle > Assignment and policy attributes (SCR-011),assignment_admin,/api/v1/organization/tree,"Workday: Hire > Job Details, Organisation Assignments"
FRM-PPL-03,Position Master,PPL People Core,SCR-012,15,"HR, Finance",Core HR,People & lifecycle,Position register,Core HR > People & lifecycle > Position register (SCR-012),position_register,/api/v1/organization/tree,Workday: Create Position
FRM-PPL-04,Sanctioned Strength,PPL People Core,SCR-013,11,"HR, Finance",Core HR,People & lifecycle,Sanctioned strength board,Core HR > People & lifecycle > Sanctioned strength board (SCR-013),sanctioned_strength,/api/v1/organization/tree,Workday: Headcount Plan / Position Budget
FRM-PPL-05,Document Upload and Verification,PPL People Core,SCR-014,10,"Employee, HR",Core HR,People & lifecycle,Document vault,Core HR > People & lifecycle > Document vault (SCR-014),document_vault,/api/v1/ops/modules/document_vault/records,Workday: Worker Documents
FRM-PPL-06,Asset Allocation and Return,PPL People Core,SCR-064,12,"Admin, IT",Core HR,People & lifecycle,Asset register,Core HR > People & lifecycle > Asset register (SCR-064),asset_register,/api/v1/assets,Workday: Assign Asset / Return Asset
FRM-TIM-01,Shift Master,TIM Time & Attendance,SCR-028,20,"Implementation, HR",Core HR,Attendance operations,Shift master,Core HR > Attendance operations > Shift master (SCR-028),shift_master,/api/v1/ops/modules/shift_master/records,Workday: Create Work Shift / Schedule Pattern
FRM-TIM-02,Roster / Shift Schedule,TIM Time & Attendance,SCR-029,12,Supervisor,Core HR,Attendance operations,Roster / Shift Schedule,Core HR > Attendance operations > Roster / Shift Schedule (SCR-029),roster_schedule,/api/v1/ops/modules/roster_schedule/records,Workday: Assign Work Schedule / Scheduling
FRM-TIM-03,Check In / Check Out,TIM Time & Attendance,SCR-020,10,Employee,Core HR,Attendance operations,Check in and check out,Core HR > Attendance operations > Check in and check out (SCR-020),check_in_out,/api/v1/attendance/punches,Workday: Check In / Check Out (Time Clock)
FRM-TIM-04,Attendance Day Detail and Override,TIM Time & Attendance,SCR-022,22,"Supervisor, HR",Core HR,Attendance operations,Attendance day detail,Core HR > Attendance operations > Attendance day detail (SCR-022),attendance_detail,/api/v1/ops/modules/attendance_detail/records,Workday: Time Entry Review / Correct Time
FRM-TIM-05,Attendance Regularisation Request,TIM Time & Attendance,SCR-021,12,Employee,Core HR,Attendance operations,My attendance history,Core HR > Attendance operations > My attendance history (SCR-021),my_attendance,/api/v1/attendance/days,Workday: Request Time Correction
FRM-TIM-06,Gate Pass,TIM Time & Attendance,SCR-023,12,"Employee, Approver",Core HR,Attendance operations,Gate pass register,Core HR > Attendance operations > Gate pass register (SCR-023),gate_passes,/api/v1/gate-passes,Workday: Request Time Off (partial day) / Short Leave
FRM-TIM-07,Overtime Register and Approval,TIM Time & Attendance,SCR-024,11,"Supervisor, Payroll",Core HR,Attendance operations,Overtime register,Core HR > Attendance operations > Overtime register (SCR-024),overtime_register,/api/v1/ot-requests,Workday: Overtime Approval / Time Approval
FRM-TIM-08,Attendance Exception Resolution,TIM Time & Attendance,SCR-025,8,"Supervisor, HR",Core HR,Attendance operations,Attendance exception queue,Core HR > Attendance operations > Attendance exception queue (SCR-025),attendance_exceptions,/api/v1/regularizations,Workday: Time Exceptions
FRM-LVE-01,Leave Type Configuration,LVE Leave,SCR-032,36,Implementation consultant,Core HR,Leave operations,Leave policy configuration,Core HR > Leave operations > Leave policy configuration (SCR-032),leave_policy_admin,/api/v1/ops/modules/leave_policy_admin/records,Workday: Create Time Off Plan / Absence Type
FRM-LVE-02,Apply for Leave,LVE Leave,SCR-030,20,Employee,Core HR,Leave operations,Leave requests,Core HR > Leave operations > Leave requests (SCR-030),leave_requests,/api/v1/leave-requests,Workday: Request Time Off
FRM-LVE-03,Compensatory Off Claim,LVE Leave,SCR-033,8,Employee,Core HR,Leave operations,Compensatory off claim,Core HR > Leave operations > Compensatory off claim (SCR-033),compensatory_off,/api/v1/ops/modules/compensatory_off/records,Workday: Comp Time Request
FRM-LVE-04,Leave Encashment Request,LVE Leave,SCR-034,8,"Employee, HR",Core HR,Leave operations,Leave encashment request,Core HR > Leave operations > Leave encashment request (SCR-034),leave_encashment,/api/v1/ops/modules/leave_encashment/records,Workday: Time Off Payout
FRM-PAY-01,Pay Component Master,PAY Payroll,SCR-057,28,"Implementation, Payroll",Payroll & Finance,Payroll & finance operations,Pay component master,Payroll & Finance > Payroll & finance operations > Pay component master (SCR-057),pay_component_master,/api/v1/ops/modules/pay_component_master/records,Workday: Create Earning / Deduction
